"PassengerId","Survived","Pclass","Name","Sex","Age","SibSp","Parch","Fare","Cabin","Embarked","Ticketnumber","Ticketprefix","Pclage"
1,"0","3","Mr","male",22,1,0,7.25,"no_cabin","S","5","A",66
2,"1","1","Mrs","female",38,1,0,71.2833,"C","C","1","PC",38
3,"1","3","Miss","female",26,0,0,7.925,"no_cabin","S","2","STONO",78
4,"1","1","Mrs","female",35,1,0,53.1,"C","S","1","no_prefix",35
5,"0","3","Mr","male",35,0,0,8.05,"no_cabin","S","3","no_prefix",105
6,"0","3","Mr","male",40.5,0,0,8.4583,"no_cabin","Q","3","no_prefix",121.5
7,"0","1","Mr","male",54,0,0,51.8625,"E","S","1","no_prefix",54
8,"0","3","Master","male",2,3,1,21.075,"no_cabin","S","3","no_prefix",6
9,"1","3","Mrs","female",27,0,2,11.1333,"no_cabin","S","3","no_prefix",81
10,"1","2","Mrs","female",14,1,0,30.0708,"no_cabin","C","2","no_prefix",28
11,"1","3","Miss","female",4,1,1,16.7,"G","S","9","PP",12
12,"1","1","Miss","female",58,0,0,26.55,"C","S","1","no_prefix",58
13,"0","3","Mr","male",20,0,0,8.05,"no_cabin","S","5","A",60
14,"0","3","Mr","male",39,1,5,31.275,"no_cabin","S","3","no_prefix",117
15,"0","3","Miss","female",14,0,0,7.8542,"no_cabin","S","3","no_prefix",42
16,"1","2","Mrs","female",55,0,0,16,"no_cabin","S","2","no_prefix",110
17,"0","3","Master","male",2,4,1,29.125,"no_cabin","Q","3","no_prefix",6
18,"1","2","Mr","male",35,0,0,13,"no_cabin","S","2","no_prefix",70
19,"0","3","Mrs","female",31,1,0,18,"no_cabin","S","3","no_prefix",93
20,"1","3","Mrs","female",18,0,0,7.225,"no_cabin","C","2","no_prefix",54
21,"0","2","Mr","male",35,0,0,26,"no_cabin","S","2","no_prefix",70
22,"1","2","Mr","male",34,0,0,13,"D","S","2","no_prefix",68
23,"1","3","Miss","female",15,0,0,8.0292,"no_cabin","Q","3","no_prefix",45
24,"1","1","Mr","male",28,0,0,35.5,"A","S","1","no_prefix",28
25,"0","3","Miss","female",8,3,1,21.075,"no_cabin","S","3","no_prefix",24
26,"1","3","Mrs","female",38,1,5,31.3875,"no_cabin","S","3","no_prefix",114
27,"0","3","Mr","male",24,0,0,7.225,"no_cabin","C","2","no_prefix",72
28,"0","1","Mr","male",19,3,2,263,"C","S","1","no_prefix",19
29,"1","3","Miss","female",18,0,0,7.8792,"no_cabin","Q","3","no_prefix",54
30,"0","3","Mr","male",36,0,0,7.8958,"no_cabin","S","3","no_prefix",108
31,"0","1","Don","male",40,0,0,27.7208,"no_cabin","C","1","PC",40
32,"1","1","Mrs","female",50,1,0,146.5208,"B","C","1","PC",50
33,"1","3","Miss","female",21,0,0,7.75,"no_cabin","Q","3","no_prefix",63
34,"0","2","Mr","male",66,0,0,10.5,"no_cabin","S","2","CA",132
35,"0","1","Mr","male",28,1,0,82.1708,"no_cabin","C","1","PC",28
36,"0","1","Mr","male",42,1,0,52,"no_cabin","S","1","no_prefix",42
37,"1","3","Mr","male",33,0,0,7.2292,"no_cabin","C","2","no_prefix",99
38,"0","3","Mr","male",21,0,0,8.05,"no_cabin","S","5","A",63
39,"0","3","Miss","female",18,2,0,18,"no_cabin","S","3","no_prefix",54
40,"1","3","Miss","female",14,1,0,11.2417,"no_cabin","C","2","no_prefix",42
41,"0","3","Mrs","female",40,1,0,9.475,"no_cabin","S","7","no_prefix",120
42,"0","2","Mrs","female",27,1,0,21,"no_cabin","S","1","no_prefix",54
43,"0","3","Mr","male",24,0,0,7.8958,"no_cabin","C","3","no_prefix",72
