"age","workclass","educatoin","education_num","marital_status","occupation","race","sex","hours_per_week","income"
39,"Government","Bachelors",13,"Single","White-Collar","White","Male",40,"<=50K"
50,"Self-Employed","Bachelors",13,"Married","White-Collar","White","Male",13,"<=50K"
38,"Private","HS-grad",9,"Divorced","Blue-Collar","White","Male",40,"<=50K"
53,"Private","11th",7,"Married","Blue-Collar","Black","Male",40,"<=50K"
28,"Private","Bachelors",13,"Married","Professional","Black","Female",40,"<=50K"
37,"Private","Masters",14,"Married","White-Collar","White","Female",40,"<=50K"
49,"Private","9th",5,"Married","Service","Black","Female",16,"<=50K"
52,"Self-Employed","HS-grad",9,"Married","White-Collar","White","Male",45,">50K"
31,"Private","Masters",14,"Single","Professional","White","Female",50,">50K"
42,"Private","Bachelors",13,"Married","White-Collar","White","Male",40,">50K"
37,"Private","Some-college",10,"Married","White-Collar","Black","Male",80,">50K"
30,"Government","Bachelors",13,"Married","Professional","Asian-Pac-Islander","Male",40,">50K"
23,"Private","Bachelors",13,"Single","White-Collar","White","Female",30,"<=50K"
32,"Private","Assoc-acdm",12,"Single","Sales","Black","Male",50,"<=50K"
40,"Private","Assoc-voc",11,"Married","Blue-Collar","Asian-Pac-Islander","Male",40,">50K"
34,"Private","7th-8th",4,"Married","Blue-Collar","Amer-Indian-Eskimo","Male",45,"<=50K"
25,"Self-Employed","HS-grad",9,"Single","Blue-Collar","White","Male",35,"<=50K"
32,"Private","HS-grad",9,"Single","Blue-Collar","White","Male",40,"<=50K"
38,"Private","11th",7,"Married","Sales","White","Male",50,"<=50K"
43,"Self-Employed","Masters",14,"Divorced","White-Collar","White","Female",45,">50K"
40,"Private","Doctorate",16,"Married","Professional","White","Male",60,">50K"
54,"Private","HS-grad",9,"Separated","Service","Black","Female",20,"<=50K"
35,"Government","9th",5,"Married","Blue-Collar","Black","Male",40,"<=50K"
43,"Private","11th",7,"Married","Blue-Collar","White","Male",40,"<=50K"
59,"Private","HS-grad",9,"Divorced","Service","White","Female",40,"<=50K"
56,"Government","Bachelors",13,"Married","Service","White","Male",40,">50K"
19,"Private","HS-grad",9,"Single","Blue-Collar","White","Male",40,"<=50K"
54,"Other/Unknown","Some-college",10,"Married","Other/Unknown","Asian-Pac-Islander","Male",60,">50K"
39,"Private","HS-grad",9,"Divorced","White-Collar","White","Male",80,"<=50K"
49,"Private","HS-grad",9,"Married","Blue-Collar","White","Male",40,"<=50K"
23,"Government","Assoc-acdm",12,"Single","Service","White","Male",52,"<=50K"
20,"Private","Some-college",10,"Single","Sales","Black","Male",44,"<=50K"
45,"Private","Bachelors",13,"Divorced","White-Collar","White","Male",40,"<=50K"
30,"Government","Some-college",10,"Married","White-Collar","White","Male",40,"<=50K"
22,"Government","Some-college",10,"Married","Service","Black","Male",15,"<=50K"
48,"Private","11th",7,"Single","Blue-Collar","White","Male",40,"<=50K"
21,"Private","Some-college",10,"Single","Blue-Collar","White","Male",40,"<=50K"
19,"Private","HS-grad",9,"Married","White-Collar","White","Female",25,"<=50K"
31,"Private","Some-college",10,"Married","Sales","White","Male",38,">50K"
48,"Self-Employed","Assoc-acdm",12,"Married","Professional","White","Male",40,"<=50K"
31,"Private","9th",5,"Married","Blue-Collar","White","Male",43,"<=50K"
53,"Self-Employed","Bachelors",13,"Married","Professional","White","Male",40,"<=50K"
24,"Private","Bachelors",13,"Married","Service","White","Male",50,"<=50K"
49,"Private","HS-grad",9,"Separated","White-Collar","White","Female",40,"<=50K"
25,"Private","HS-grad",9,"Single","Blue-Collar","White","Male",35,"<=50K"
57,"Government","Bachelors",13,"Married","Professional","Black","Male",40,">50K"
53,"Private","HS-grad",9,"Married","Blue-Collar","White","Male",38,"<=50K"
44,"Private","Masters",14,"Divorced","White-Collar","White","Female",40,"<=50K"
41,"Government","Assoc-voc",11,"Married","Blue-Collar","White","Male",40,"<=50K"
29,"Private","Assoc-voc",11,"Single","Professional","White","Male",43,"<=50K"
25,"Private","Some-college",10,"Married","White-Collar","Other","Female",40,"<=50K"
18,"Private","HS-grad",9,"Single","Service","White","Female",30,"<=50K"
47,"Private","Prof-school",15,"Married","Professional","White","Female",60,">50K"
50,"Government","Bachelors",13,"Divorced","White-Collar","White","Male",55,">50K"
47,"Self-Employed","HS-grad",9,"Divorced","White-Collar","White","Male",60,"<=50K"
43,"Private","Some-college",10,"Married","Service","White","Male",40,">50K"
46,"Private","5th-6th",3,"Married","Blue-Collar","White","Male",40,"<=50K"
35,"Private","Assoc-voc",11,"Married","Service","White","Male",40,"<=50K"
41,"Private","HS-grad",9,"Married","White-Collar","White","Male",48,"<=50K"
30,"Private","HS-grad",9,"Married","Blue-Collar","White","Male",40,"<=50K"
30,"Private","Bachelors",13,"Married","Sales","White","Male",40,"<=50K"
32,"Other/Unknown","7th-8th",4,"Married","Other/Unknown","White","Male",40,"<=50K"
48,"Private","HS-grad",9,"Married","Blue-Collar","White","Male",40,"<=50K"
42,"Private","Doctorate",16,"Married","Professional","White","Male",45,">50K"
29,"Private","Some-college",10,"Divorced","Service","White","Male",58,"<=50K"
36,"Private","HS-grad",9,"Married","Blue-Collar","White","Male",40,"<=50K"
28,"Private","Some-college",10,"Divorced","White-Collar","White","Female",40,"<=50K"
53,"Private","HS-grad",9,"Married","White-Collar","White","Female",40,">50K"
49,"Self-Employed","Some-college",10,"Married","White-Collar","White","Male",50,">50K"
25,"Other/Unknown","Some-college",10,"Single","Other/Unknown","White","Male",40,"<=50K"
19,"Private","Some-college",10,"Single","Professional","White","Male",32,"<=50K"
31,"Private","Bachelors",13,"Separated","Sales","Black","Female",40,"<=50K"
29,"Self-Employed","Bachelors",13,"Married","Sales","White","Male",70,">50K"
23,"Private","Some-college",10,"Single","Blue-Collar","White","Male",40,"<=50K"
79,"Private","Some-college",10,"Married","Professional","White","Male",20,"<=50K"
27,"Private","HS-grad",9,"Single","Service","White","Male",40,"<=50K"
40,"Private","Assoc-acdm",12,"Married","White-Collar","White","Male",40,"<=50K"
67,"Other/Unknown","10th",6,"Married","Other/Unknown","White","Male",2,"<=50K"
18,"Private","11th",7,"Single","Service","White","Female",22,"<=50K"
31,"Government","7th-8th",4,"Married","Blue-Collar","White","Male",40,"<=50K"
18,"Private","HS-grad",9,"Single","Sales","White","Male",30,"<=50K"
52,"Private","Bachelors",13,"Married","Service","White","Male",40,"<=50K"
46,"Private","HS-grad",9,"Married","Service","White","Female",40,"<=50K"
59,"Private","HS-grad",9,"Married","Sales","White","Male",48,"<=50K"
44,"Private","HS-grad",9,"Divorced","Blue-Collar","White","Female",40,">50K"
53,"Private","HS-grad",9,"Divorced","Sales","White","Female",35,"<=50K"
49,"Government","HS-grad",9,"Married","Service","White","Male",40,">50K"
33,"Private","Masters",14,"Married","Professional","White","Male",50,"<=50K"
30,"Private","9th",5,"Single","Sales","White","Male",40,"<=50K"
43,"Government","Doctorate",16,"Single","Professional","White","Female",50,">50K"
57,"Private","Assoc-voc",11,"Married","Professional","White","Male",40,"<=50K"
37,"Private","Some-college",10,"Divorced","Blue-Collar","White","Female",40,"<=50K"
28,"Private","Some-college",10,"Divorced","Blue-Collar","Black","Female",25,"<=50K"
30,"Private","HS-grad",9,"Married","Sales","Asian-Pac-Islander","Female",35,"<=50K"
34,"Government","Bachelors",13,"Married","Service","White","Male",40,">50K"
29,"Government","Some-college",10,"Single","Blue-Collar","White","Male",50,"<=50K"
48,"Self-Employed","Doctorate",16,"Married","Professional","White","Male",60,">50K"
37,"Private","Some-college",10,"Married","Sales","White","Male",48,">50K"
48,"Private","Assoc-acdm",12,"Divorced","White-Collar","White","Female",40,"<=50K"
32,"Government","HS-grad",9,"Single","Service","Black","Male",40,"<=50K"
76,"Private","Masters",14,"Married","White-Collar","White","Male",40,">50K"
44,"Private","Bachelors",13,"Married","White-Collar","White","Male",60,">50K"
47,"Self-Employed","Masters",14,"Single","Professional","White","Female",50,"<=50K"
20,"Private","Some-college",10,"Single","Service","White","Female",40,"<=50K"
29,"Private","HS-grad",9,"Single","Blue-Collar","White","Male",40,"<=50K"
32,"Self-Employed","HS-grad",9,"Married","Blue-Collar","White","Male",40,">50K"
17,"Other/Unknown","10th",6,"Single","Other/Unknown","White","Female",32,"<=50K"
30,"Private","11th",7,"Single","Blue-Collar","White","Male",40,"<=50K"
31,"Government","HS-grad",9,"Single","White-Collar","White","Female",40,"<=50K"
42,"Private","HS-grad",9,"Married","Blue-Collar","White","Male",40,"<=50K"
24,"Private","Bachelors",13,"Single","Sales","White","Male",40,"<=50K"
38,"Private","Prof-school",15,"Married","Professional","White","Male",40,">50K"
56,"Self-Employed","HS-grad",9,"Married","Service","White","Male",50,">50K"
28,"Private","Some-college",10,"Married","Sales","White","Female",25,"<=50K"
36,"Private","HS-grad",9,"Single","Blue-Collar","White","Female",40,"<=50K"
53,"Private","9th",5,"Married","Blue-Collar","White","Male",50,"<=50K"
56,"Self-Employed","Some-college",10,"Married","Sales","White","Male",50,"<=50K"
49,"Government","Assoc-voc",11,"Married","Blue-Collar","Black","Male",40,">50K"
55,"Private","Some-college",10,"Married","Sales","White","Male",56,"<=50K"
22,"Private","HS-grad",9,"Single","Blue-Collar","White","Male",41,"<=50K"
21,"Private","Some-college",10,"Single","Service","White","Female",40,"<=50K"
40,"Private","Bachelors",13,"Married","White-Collar","White","Male",60,"<=50K"
30,"Private","Bachelors",13,"Single","White-Collar","Black","Male",40,"<=50K"
29,"Government","Bachelors",13,"Married","Professional","White","Male",50,">50K"
19,"Private","Some-college",10,"Single","Service","Black","Male",35,"<=50K"
47,"Private","Bachelors",13,"Married","White-Collar","White","Female",40,">50K"
20,"Private","Some-college",10,"Single","White-Collar","White","Female",28,"<=50K"
31,"Private","Assoc-acdm",12,"Married","White-Collar","White","Male",40,">50K"
35,"Other/Unknown","HS-grad",9,"Married","Other/Unknown","White","Male",40,"<=50K"
39,"Private","Some-college",10,"Divorced","Blue-Collar","White","Male",40,"<=50K"
28,"Private","Assoc-acdm",12,"Single","Sales","White","Female",60,"<=50K"
24,"Private","HS-grad",9,"Single","Service","White","Female",40,"<=50K"
38,"Self-Employed","HS-grad",9,"Married","Blue-Collar","White","Male",35,"<=50K"
37,"Private","Bachelors",13,"Married","Sales","White","Male",50,"<=50K"
46,"Private","Assoc-acdm",12,"Divorced","Service","Black","Female",36,"<=50K"
38,"Government","Masters",14,"Married","Professional","White","Male",40,">50K"
43,"Self-Employed","HS-grad",9,"Married","Blue-Collar","White","Male",60,"<=50K"
27,"Private","Assoc-voc",11,"Married","White-Collar","White","Female",35,"<=50K"
20,"Private","Some-college",10,"Single","Sales","White","Male",20,"<=50K"
49,"Private","Some-college",10,"Married","Blue-Collar","Asian-Pac-Islander","Male",40,">50K"
61,"Self-Employed","HS-grad",9,"Married","Blue-Collar","White","Male",40,"<=50K"
27,"Private","Some-college",10,"Single","Sales","White","Female",40,"<=50K"
19,"Private","Some-college",10,"Single","Service","White","Male",30,"<=50K"
45,"Private","Assoc-voc",11,"Single","Professional","White","Female",40,">50K"
70,"Private","Some-college",10,"Single","Service","White","Male",40,"<=50K"
31,"Private","HS-grad",9,"Single","Blue-Collar","Black","Female",30,"<=50K"
22,"Private","Some-college",10,"Married","Service","White","Male",24,"<=50K"
36,"Private","HS-grad",9,"Widowed","Service","White","Female",24,"<=50K"
64,"Private","11th",7,"Married","Blue-Collar","White","Male",40,"<=50K"
